ts_close_utc,direction,tier,close_px,e9,e89,e200
2025-10-11T00:00:00Z,short,provisional,112714.9,118644.55,119114.87,116831.37
2025-10-26T08:00:00Z,long,provisional,111672.8,111273.32,111186.61,112799.41
2025-10-30T00:00:00Z,short,full,109985.6,112063.81,112068.02,112943.25
2025-12-03T12:00:00Z,long,provisional,92957.7,90967.61,90596.59,95367.51
2025-12-06T00:00:00Z,short,full,89288.5,90929.94,90972.78,94894.57
2025-12-08T12:00:00Z,long,provisional,91923.5,90770.34,90730.57,94225.13
2025-12-08T16:00:00Z,short,full,89912.6,90598.79,90712.4,94182.22
2025-12-09T16:00:00Z,long,provisional,92676.9,90896.77,90720.44,93983.11
2025-12-11T16:00:00Z,short,full,89830.1,90894.75,90934.99,93722.36
2025-12-12T00:00:00Z,long,provisional,92477.5,91195.1,90966.19,93681.13
2025-12-13T00:00:00Z,short,full,90229.6,90955.38,90992.77,93536.45
2025-12-22T16:00:00Z,long,provisional,89688.5,88976.68,88855.08,91129.17
2025-12-22T20:00:00Z,short,full,88011.1,88783.57,88836.32,91098.15
2025-12-29T08:00:00Z,long,provisional,89583.0,88469.72,88257.8,90037.54
2025-12-29T16:00:00Z,short,full,87636.6,88152.58,88228.16,89988.94
2025-12-31T08:00:00Z,long,provisional,88569.0,88243.65,88184.46,89799.03
2025-12-31T20:00:00Z,short,full,87515.0,88137.04,88180.23,89749.58
2026-01-02T00:00:00Z,long,provisional,88800.0,88177.28,88159.65,89633.31
2026-01-20T08:00:00Z,short,provisional,91136.1,92785.39,93008.87,91893.79
2026-03-03T00:00:00Z,long,provisional,68801.8,67565.52,67388.15,71357.1
2026-03-07T20:00:00Z,short,full,67042.6,68306.5,68475.07,70940.38
2026-03-10T04:00:00Z,long,provisional,69391.0,68284.69,68273.2,70516.23
2026-03-20T00:00:00Z,short,full,69887.4,70674.7,70814.08,71009.74
2026-03-25T08:00:00Z,long,provisional,70900.0,70392.2,70365.58,70713.78
2026-03-26T12:00:00Z,short,full,69239.3,70392.81,70407.44,70710.73
2026-04-06T08:00:00Z,long,provisional,69089.7,68077.06,68036.64,69072.98
2026-05-16T04:00:00Z,short,provisional,79041.7,79699.14,79742.84,77785.38
2026-06-15T16:00:00Z,long,provisional,67248.5,65570.46,65486.04,69150.31
2026-06-17T20:00:00Z,short,full,64271.3,65354.11,65546.46,68735.77
2026-07-03T20:00:00Z,long,provisional,62178.4,61557.48,61465.54,64121.47
