ts_close_utc,direction,tier,close_px,e9,e89,e200
2025-10-13T00:00:00Z,short,provisional,114894.4,115796.44,115856.65,113444.22
2026-01-06T00:00:00Z,long,provisional,93822.4,91271.92,91057.35,96743.9
2026-01-10T12:00:00Z,short,full,90692.8,91058.2,91133.6,96293.26
2026-01-13T12:00:00Z,long,provisional,91962.1,91131.17,91117.35,95984.74
2026-01-21T12:00:00Z,short,full,88757.1,91701.86,91906.91,95669.95
2026-03-17T00:00:00Z,long,provisional,74846.4,72287.76,72129.38,79492.04
2026-03-19T12:00:00Z,short,full,69926.8,72023.47,72150.96,79144.17
2026-04-09T12:00:00Z,long,provisional,71109.9,70034.18,70008.03,75544.1
2026-05-23T12:00:00Z,short,provisional,74763.3,76634.08,76932.13,76825.19
2026-05-26T00:00:00Z,long,full,77281.5,76997.5,76953.38,76840.02
2026-05-27T00:00:00Z,short,provisional,75905.5,76804.12,76934.45,76833.81
